X11.PDX8.ccRCC.htseq2	X17.PDX2.2180.P1.htseq2	X26.PDX2.2181.P1.htseq2	X29.PDX2.2192.P1.htseq2	X2.PDX2.normal.htseq2	X34.PDX2.2194.P1.htseq2	X4.PDX3.normal.htseq2	X6.PDX4.ccRCC.htseq2	X7.PDX5.ccRCC.htseq2	X8.PDX5.normal.htseq2
ERGIC1	3159.95273709756	5690.60879113182	4974.46052477477	6043.45649487038	1270.56456252508	5497.81127078457	1328.32229910365	2236.02883765998	3041.2207383535	1381.08365095193
B3GAT3	279.106070625276	559.049727059205	909.919113784423	594.823259585775	327.597536343675	580.772265116883	453.597466582801	597.918117858077	362.693732499936	544.10996516298
CALM2	4701.19287709449	3413.91533526094	2965.79342793808	3335.44533938777	5103.45573774607	3100.77552706181	5398.89218902349	5285.71944395156	3356.60659270127	4157.12344488543
CALM3	3522.68801638446	3007.84501037488	3660.91970293033	3647.2057758812	1920.6208503286	2960.35991503785	1849.8117943073	3054.31368452245	2953.36325035662	2216.51594873758
SPG21	771.646195258116	763.772162320322	626.675809882657	688.742721625634	675.750212222639	762.730957621314	647.434128007555	792.087403554257	910.113465403566	752.197345607746
CALM1	4029.59389465242	2143.96132751478	2345.01852022004	2721.05552521036	3335.07138960071	2234.18686823934	4992.52395974215	2977.26238067476	4987.60201089974	3569.85461563021
GSDMD	1028.69057280088	1222.71036883975	1773.81119068481	1716.63905617298	940.39763373949	1315.25392801148	716.310099072189	1305.24908717988	986.707172888024	1539.84661529127
GSDME	165.206166803932	697.406098142267	506.297405724407	598.736570504102	163.798768171837	637.270854570314	328.63677622268	218.825702927441	87.8574879968789	178.801008382169
DLGAP4	353.500151950028	377.949111251293	614.874005553417	469.597310199296	304.473004366474	452.819577237055	380.785725743045	485.42321424045	389.726805729745	447.002520955423
PTPN18	324.255582049953	281.212136347688	333.991062517499	323.500369248404	264.005073406373	292.463286582465	164.31838811134	335.94368477593	324.396878757707	231.208200494184
LRRFIP2	349.908713541247	541.052150332952	532.261375248735	581.778889858016	650.056287803527	486.054041621426	793.057609687066	553.228361626417	583.463830543375	607.306873298057
PTPN13	455.599615285377	365.575777251995	231.315364853109	242.625276936303	1417.01993171401	330.682920624491	1382.43913351157	127.905164387166	344.671683680063	729.076525558328
PTPN12	965.070806702471	942.623081037451	788.360529193249	748.746822373321	817.709144638232	923.087248275904	713.358271740847	601.000170011985	840.27802622656	604.224097291468
PTPN11	654.667915657816	635.539428145776	296.22528866393	461.770688362641	932.689456413757	524.273675663452	920.970127378528	614.869404704569	736.651245512292	746.031793594568
PTPN14	427.381170644954	386.947899614419	536.982096980431	405.67989853328	656.479768908305	363.086523399253	685.807883314994	531.653996549064	380.715781319808	813.852865739529
LYAR	164.693104174106	258.715165439873	634.937072913126	447.421881662107	147.097717299415	258.397960588484	110.201553703414	209.579546465718	177.967732096242	160.304352342634
TFIP11	283.210571663883	672.659430143671	666.801944602074	626.129746932394	320.531707128419	673.828765393122	386.689380405728	346.730867314607	223.022854145923	283.615392606199
HLA-DQB1	2249.77963178646	1623.15645099886	1300.55883708228	1942.3066524632	1654.04638448032	1298.6366958193	482.131797452435	8202.88180762512	5104.74532822891	416.174760889532
CDK7	291.419573741097	284.586681983861	210.072117060476	266.105142446268	154.163546514671	244.273313225127	154.478963673535	346.730867314607	232.03387855586	198.839052424998
CDK9	437.129360611645	313.83274416402	453.189286242826	404.375461560505	663.545598123561	363.086523399253	710.406444409506	642.607874089738	423.518147267006	952.577786036039
CAMKK2	373.509594513237	1203.58794356811	1308.82010011274	1232.69293927315	370.634859745687	1075.1349228344	415.223711275362	527.030918318202	394.232317934713	291.322332622672
